100408	affärsområde		affär
100408	affärsverksamhet		affär
100408	bilaffär		affär
100408	dopningsaffär		affär
100408	fastighetsaffär		affär
100408	fruktaffär		affär
100408	kärleksaffär		affär
100408	markaffär		affär
100408	mataffär		affär
100408	mutaffär		affär
100408	mångmiljonaffär		affär
100408	naziaffär		affär
100408	spionaffär		affär
100408	sportaffär		affär
100408	tobaksaffär		affär
100409	affärsbank	 subst.	affärsbank
100411	affärsbegåvning	 subst.	affärsbegåvning
100413	affärsbiträde	 subst.	affärsbiträde
100415	affärsbrev	 subst.	affärsbrev
100419	affärscentrum	 subst.	affärscentrum
100421	affärsdrivande	 adj.	affärsdrivande
100425	affärshemlighet	 subst.	affärshemlighet
100426	affärsidé	 subst.	affärsidé
100429	affärskedja	 subst.	affärskedja
100430	affärsklass	 subst.	affärsklass
100440	affärsman	 subst.	affärsman
100443	affärsmässig	 adj.	affärsmässig
100445	affärstid	 subst.	affärstid
100445	affärstidslagen		affärstid
100450	affärsverk	 subst.	affärsverk
100454	affärsängel	 subst.	affärsängel
100455	afghan	 subst.	afghan
100455	afghanhund		afghan
100457	afghansk	 adj.	afghansk
100458	afghanska	 subst.	afghanska
100459	aflatoxin	 subst.	aflatoxin
100460	aforism	 subst.	aforism
100462	aforistiker	 subst.	aforistiker
100463	aforistisk	 adj.	aforistisk
100464	afrikaan	 subst.	afrikaan
100465	afrikaans	 subst.	afrikaans
100466	afrikan	 subst.	afrikan
100467	afrikand	 subst.	afrikand
100468	afrikanisera	 verb	afrikanisera
100469	afrikansk	 adj.	afrikansk
100470	afrikanska	 subst.	afrikanska
100471	afroamerikan	 subst.	afroamerikan
100472	afroamerikansk	 adj.	afroamerikansk
100473	afroasiatisk	 adj.	afroasiatisk
100474	afrodisiakum	 subst.	afrodisiakum
100475	afrofrisyr	 subst.	afrofrisyr
100476	afte	 subst.	afte
100477	after shave	 subst.	after shave
100478	after ski	 subst.	after ski
100479	after work	 subst.	after work
100480	aftershave	 subst.	aftershave
100481	afterski	 subst.	afterski
100482	afterwork	 subst.	afterwork
100483	afton	 subst.	afton
100483	aftonbön		afton
100483	aftonklänning		afton
100483	julafton		afton
100483	påskafton		afton
100483	romansafton		afton
100483	visafton		afton
100484	aftonbön	 subst.	aftonbön
100486	aftondräkt	 subst.	aftondräkt
100488	aftonkvisten	 subst.	aftonkvisten
100489	aftonrodnad	 subst.	aftonrodnad
100491	aftonskola	 subst.	aftonskola
100492	aftonstjärna	 subst.	aftonstjärna
100493	aftonsång	 subst.	aftonsång
100495	aftonvard	 subst.	aftonvard
100496	aftös	 adj.	aftös
100497	ag	 subst.	ag
100497	axag		ag
100497	dvärgag		ag
100497	knappag		ag
100497	takag		ag
100497	vitag		ag
100500_1	aga	 subst.	aga
100500_1	skolaga		aga
100500_2	aga	 subst.	aga
100500_3	aga	 verb	aga
100501	agape	 subst.	agape
100502	agat	 subst.	agat
100502	agathalsband		agat
100502	mossagat		agat
100503	agatglas	 subst.	agatglas
100505	agave	 subst.	agave
100505	agavebrännvin		agave
100505	agavehampa		agave
100505	agaveväxter		agave
100509	agenda	 subst.	agenda
100509	kontorsagenda		agenda
100510_1	agens	 subst.	agens
100510_2	agens	 subst.	agens
100511	agent	 subst.	agent
100511	agentkontor		agent
100511	agentroman		agent
100511	polisagent		agent
100513	agentfilm	 subst.	agentfilm
100517	agentur	 subst.	agentur
100518	agent		agera
100518	agera	 verb	agera
100518	aktör		agera
100519	agg	 subst.	agg
100520	agglomerat	 subst.	agglomerat
100520	agglomerattuff		agglomerat
100521	agglomeration	 subst.	agglomeration
100523	agglomerera	 verb	agglomerera
100523	agglomereringspress		agglomerera
100525	agglutination	 subst.	agglutination
100526	agglutinera	 verb	agglutinera
100527	aggregat	 subst.	aggregat
100527	kärnkraftsaggregat		aggregat
100527	oljeeldningsaggregat		aggregat
100527	pumpaggregat		aggregat
100527	svetsaggregat		aggregat
100528	aggregation	 subst.	aggregation
100529	aggregationsform	 subst.	aggregationsform
100530	aggregationstillstånd	 subst.	aggregationstillstånd
100531	aggregera	 verb	aggregera
100532	aggression	 subst.	aggression
100532	aggressionshämmad		aggression
100535	aggressionshämning	 subst.	aggressionshämning
100536	aggressiv	 adj.	aggressiv
100537	aggressivitet	 subst.	aggressivitet
100538	aggressor	 subst.	aggressor
100539	agil	 adj.	agil
100540	agility	 subst.	agility
100541	agio	 subst.	agio
100542	agitation	 subst.	agitation
100543	agitator	 subst.	agitator
100544	agitatorisk	 adj.	agitatorisk
100545	agitera	 verb	agitera
100546_1	agn	 subst.	agn
100546_1	agnfisk		agn
100546_1	klöveragnar		agn
100546_2	agn	 subst.	agn
100547	agna	 verb	agna
100548	agnat	 subst.	agnat
100549	agnatisk	 adj.	agnatisk
100550	agnblommig	 adj.	agnblommig
100551	agnborst	 subst.	agnborst
100553	agnosi	 subst.	agnosi
100554	agnosticism	 subst.	agnosticism
100555	agnostiker	 subst.	agnostiker
100556	agnostisk	 adj.	agnostisk
100557	agoni	 subst.	agoni
100558	agorafobi	 subst.	agorafobi
100559	agraff	 subst.	agraff
100559	agraffnål		agraff
100561	agrafi	 subst.	agrafi
100561	agrafisk		agrafi
100563_1	agrar	 adj.	agrar
100563_1	agrarpolitik		agrar
100563_2	agrar	 subst.	agrar
100565	agreabel	 adj.	agreabel
100566	agremang	 subst.	agremang
100567	agremanger	 subst.	agremanger
100568	agrikultur	 subst.	agrikultur
100569	agrikulturell	 adj.	agrikulturell
100570	agronom	 subst.	agronom
